rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbincl,pl_bmassj,pl_radj,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_eqt,pl_disc,pl_locale,pl_telescope,pl_mnum
1,11 Com,b,Radial Velocity,1,326.03,1.29,,19.4,,110.62,4742,2.7,19,14-05-2014,11 Com b,,2007,Ground,2.16 m Telescope,0
2,11 UMi,b,Radial Velocity,1,516.22,1.54,,10.5,,119.47,4340,1.8,24.08,14-05-2014,11 UMi b,,2009,Ground,2.0 m Alfred Jensch Telescope,0
3,14 And,b,Radial Velocity,1,185.84,0.83,,4.8,,76.39,4813,2.2,11,14-05-2014,14 And b,,2008,Ground,1.88 m Telescope,0
4,14 Her,b,Radial Velocity,1,1773.4,2.77,,4.64,,18.15,5311,0.9,,14-05-2014,14 Her b,,2002,Ground,10 m Keck I Telescope,0
5,16 Cyg B,b,Radial Velocity,1,798.5,1.681,,1.68,,21.41,5674,0.99,,10-09-2015,16 Cyg B b,,1996,Ground,Multiple Telescopes,0
6,18 Del,b,Radial Velocity,1,993.3,2.6,,10.3,,73.1,4979,2.3,8.5,14-05-2014,18 Del b,,2008,Ground,1.88 m Telescope,0
7,1RXS J160929.1-210524,b,Imaging,1,,330,,8,,145,4060,0.85,,01-04-2015,1RXS J160929.1-210524 b,1700,2008,Ground,8.19 m Gemini North Telescope,0
8,24 Sex,b,Radial Velocity,2,452.8,1.333,,1.99,,74.79,5098,1.54,4.9,14-05-2014,24 Sex b,,2010,Ground,3.0 m C. Donald Shane Telescope,0
9,24 Sex,c,Radial Velocity,2,883,2.08,,0.86,,74.79,5098,1.54,4.9,14-05-2014,24 Sex c,,2010,Ground,3.0 m C. Donald Shane Telescope,0
10,2MASS J01225093-2439505,b,Imaging,1,,52,,24.5,,36,3530,0.4,,14-05-2014,2MASS J01225093-2439505 b,,2013,Ground,10 m Keck II Telescope,0
11,2MASS J02192210-3925225,b,Imaging,1,,156,,13.9,1.44,39.4,3064,0.11,0.28,14-05-2015,2MASS J02192210-3925225 b,,2015,Ground,1.5 m CTIO Telescope,0
12,2MASS J04414489+2301513,b,Imaging,1,,15,,7.5,,140,,0.02,,14-05-2014,2MASS J04414489+2301513 b,,2010,Space,2.4 m Hubble Space Telescope,0
13,2MASS J12073346-3932539,b,Imaging,1,,46,,4,,52.4,,0.02,,14-05-2014,2MASS J12073346-3932539 b,1150,2004,Ground,8.2 m ESO VLT UT4 Yepun Telescope,0
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416,0.92,,1.9,,,,0.48,,04-06-2015,2MASS J19383260+4603591 b,,2015,Space,0.95 m Kepler Telescope,0
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.5,,46.2,20.95,0.92,25,2300,0.08,0.12,14-05-2014,2MASS J21402931+1625183 A b,2075,2009,Ground,10 m Keck II Telescope,0
16,30 Ari B,b,Radial Velocity,1,335.1,0.995,,9.88,,39.43,6300,1.16,1.13,14-05-2014,30 Ari B b,,2009,Ground,2.0 m Alfred Jensch Telescope,0
17,4 UMa,b,Radial Velocity,1,269.3,0.87,,7.1,,77.4,4415,1.23,18.11,14-05-2014,4 UMa b,,2006,Ground,2.0 m Alfred Jensch Telescope,0
18,42 Dra,b,Radial Velocity,1,479.1,1.19,,3.88,,97.28,4200,0.98,22.03,14-05-2014,42 Dra b,,2008,Ground,2.0 m Alfred Jensch Telescope,0
19,47 UMa,b,Radial Velocity,3,1078,2.1,,2.53,,14.08,5892,1.03,1.23,14-05-2014,47 UMa b,,1996,Ground,3.0 m C. Donald Shane Telescope,0
20,47 UMa,c,Radial Velocity,3,2391,3.6,,0.54,,14.08,5892,1.03,1.23,14-05-2014,47 UMa c,,2001,Ground,3.0 m C. Donald Shane Telescope,0
21,47 UMa,d,Radial Velocity,3,14002,11.6,,1.64,,14.08,5892,1.03,1.23,14-05-2014,47 UMa d,,2009,Ground,3.0 m C. Donald Shane Telescope,0
22,51 Eri,b,Imaging,1,,13.2,,2,,29.4,,1.75,,14-08-2015,51 Eri b,700,2015,Ground,8.19 m Gemini South Telescope,0
23,51 Peg,b,Radial Velocity,1,4.230785,0.0527,,0.472,,15.36,5793,1.12,1.2,14-05-2014,51 Peg b,,1995,Ground,1.93 m Telescope,0
24,55 Cnc,b,Radial Velocity,5,14.65152,0.115227,90,0.8306,,12.53,5196,0.91,0.94,29-10-2014,55 Cnc b,,1996,Ground,3.0 m C. Donald Shane Telescope,0
25,55 Cnc,c,Radial Velocity,5,44.4175,0.241376,90,0.1714,,12.53,5196,0.91,0.94,29-10-2014,55 Cnc c,,2004,Ground,9.2 m Hobby-Eberly Telescope,0
26,55 Cnc,d,Radial Velocity,5,4825,5.503,90,3.878,,12.53,5196,0.91,0.94,29-10-2014,55 Cnc d,,2002,Ground,3.0 m C. Donald Shane Telescope,0
27,55 Cnc,e,Radial Velocity,5,0.736539,0.01544,83.3,0.02542,0.17,12.53,5196,0.91,0.94,07-07-2016,55 Cnc e,,2004,Ground,9.2 m Hobby-Eberly Telescope,0
28,55 Cnc,f,Radial Velocity,5,262,0.788,90,0.141,,12.53,5196,0.91,0.94,29-10-2014,55 Cnc f,,2007,Ground,Multiple Telescopes,0
29,6 Lyn,b,Radial Velocity,1,874.774,2.18,,2.21,,56.95,4978,1.7,5.2,03-09-2015,6 Lyn b,,2008,Ground,1.88 m Telescope,0
30,61 Vir,b,Radial Velocity,3,4.215,0.050201,,0.016,,8.52,5577,0.94,0.96,14-05-2014,61 Vir b,,2009,Ground,Multiple Telescopes,0
31,61 Vir,c,Radial Velocity,3,38.021,0.2175,,0.057,,8.52,5577,0.94,0.96,14-05-2014,61 Vir c,,2009,Ground,Multiple Telescopes,0
32,61 Vir,d,Radial Velocity,3,123.01,0.476,,0.072,,8.52,5577,0.94,0.96,14-05-2014,61 Vir d,,2009,Ground,Multiple Telescopes,0
33,7 CMa,b,Radial Velocity,1,796,1.93,,2.46,,19.84,4792,1.52,2.3,22-10-2015,7 CMa b,,2011,Ground,3.9 m Anglo-Australian Telescope,0
34,70 Vir,b,Radial Velocity,1,116.6926,0.481,,7.4,,18.11,5439,1.09,1.94,24-04-2015,70 Vir b,,1996,Ground,3.0 m C. Donald Shane Telescope,0
35,75 Cet,b,Radial Velocity,1,691.9,2.1,,3,,81.5,4846,2.49,10.5,03-09-2015,75 Cet b,,2012,Ground,1.88 m Telescope,0
36,8 UMi,b,Radial Velocity,1,93.4,0.49,,1.5,,159.1,4847.4,1.8,9.9,15-10-2015,8 UMi b,,2015,Ground,1.8 m Telescope,0
37,81 Cet,b,Radial Velocity,1,952.7,2.5,,5.3,,97.18,4785,2.4,11,14-05-2014,81 Cet b,,2008,Ground,1.88 m Telescope,0
38,91 Aqr,b,Radial Velocity,1,181.4,0.7,,3.2,,45.52,4665,1.4,11,14-05-2014,91 Aqr b,,2013,Ground,0.6 m Coude Auxiliary Telescope,0
39,AB Pic,b,Imaging,1,,260,,13.5,,45.52,,,,14-05-2014,AB Pic b,,2005,Ground,8.2 m ESO VLT UT4 Yepun Telescope,0
40,BD+14 4559,b,Radial Velocity,1,268.94,0.777,,1.47,,50.03,5008,0.86,0.95,14-05-2014,BD+14 4559 b,,2009,Ground,9.2 m Hobby-Eberly Telescope,0
41,BD+15 2375,b,Radial Velocity,1,153.22,0.576,,1.061,,774,4649,1.08,8.95,04-02-2016,BD+15 2375 b,,2016,Ground,3.58 m Telescopio Nazionale Galileo,0
42,BD+15 2940,b,Radial Velocity,1,137.48,0.539,,1.11,,175.44,4796,1.1,14.7,14-05-2014,BD+15 2940 b,,2013,Ground,9.2 m Hobby-Eberly Telescope,0
43,BD+20 1790,b,Radial Velocity,1,7.78287,0.066,,6.37,,25.4,4410,0.63,0.71,26-03-2015,BD+20 1790 b,,2010,Ground,Multiple Telescopes,0
44,BD+20 2457,b,Radial Velocity,2,379.63,1.45,,21.42,,,4137,2.8,49,14-05-2014,BD+20 2457 b,,2009,Ground,9.2 m Hobby-Eberly Telescope,0
45,BD+20 2457,c,Radial Velocity,2,621.99,2.01,,12.47,,,4137,2.8,49,14-05-2014,BD+20 2457 c,,2009,Ground,9.2 m Hobby-Eberly Telescope,0
46,BD+20 274,b,Radial Velocity,1,578.2,1.3,,4.2,,,4296,0.8,17.3,18-09-2015,BD+20 274 b,,2012,Ground,9.2 m Hobby-Eberly Telescope,0
47,BD+20 594,b,Transit,1,41.6855,0.241,89.55,0.05129,0.199,152.1,5766,0.96,0.93,28-07-2016,BD+20 594 b,546,2016,Space,0.95 m Kepler Telescope,0
48,BD+48 738,b,Radial Velocity,1,392.6,1,,0.91,,,4414,0.74,11,13-08-2015,BD+48 738 b,,2011,Ground,9.2 m Hobby-Eberly Telescope,0
49,BD+49 828,b,Radial Velocity,1,2590,4.2,,1.6,,,4943,1.52,7.6,05-02-2015,BD+49 828 b,,2015,Ground,9.2 m Hobby-Eberly Telescope,0
50,BD-06 1339,b,Radial Velocity,2,3.8728,0.0428,,0.027,,20.1,4324,0.7,,14-05-2014,BD-06 1339 b,,2013,Ground,3.6 m ESO Telescope,0
51,BD-06 1339,c,Radial Velocity,2,125.94,0.435,,0.17,,20.1,4324,0.7,,14-05-2014,BD-06 1339 c,,2013,Ground,3.6 m ESO Telescope,0
52,BD-08 2823,b,Radial Velocity,2,5.6,0.056,,0.045,,42.09,4746,0.74,,14-05-2014,BD-08 2823 b,,2009,Ground,3.6 m ESO Telescope,0
53,BD-08 2823,c,Radial Velocity,2,237.6,0.68,,0.33,,42.09,4746,0.74,,14-05-2014,BD-08 2823 c,,2009,Ground,3.6 m ESO Telescope,0
54,BD-10 3166,b,Radial Velocity,1,3.48777,0.0452,,0.458,,80,5393,1.01,,27-08-2014,BD-10 3166 b,,2000,Ground,10 m Keck I Telescope,0
55,BD-11 4672,b,Radial Velocity,1,1667,2.28,,0.53,,27.3,4475,0.57,0.52,08-01-2015,BD-11 4672 b,,2014,Ground,3.6 m ESO Telescope,0
56,BD-13 2130,b,Radial Velocity,1,714.3,2.1,,10.6,,766,,2.4,,14-05-2015,BD-13 2130 b,,2007,Ground,1.2 m Leonhard Euler Telescope,0
57,BD-17 63,b,Radial Velocity,1,655.6,1.34,,5.1,,37.54,4714,0.74,0.69,14-05-2014,BD-17 63 b,,2008,Ground,3.6 m ESO Telescope,0
58,CFBDSIR J145829+101343,b,Imaging,1,10037.5,2.6,,10.5,,23.1,580.5,0.02,,14-05-2014,CFBDSIR J145829+101343 b,370,2011,Ground,10 m Keck II Telescope,0
59,CHXR 73,b,Imaging,1,,210,,12.569,,,,0.35,,14-05-2014,CHXR 73 b,,2006,Space,2.4 m Hubble Space Telescope,0
60,CT Cha,b,Imaging,1,,440,,17,2.2,165,,,,14-05-2014,CT Cha b,2600,2007,Ground,8.2 m ESO VLT UT4 Yepun Telescope,0
61,CoRoT-1,b,Transit,1,1.5089557,,85.1,1.03,1.49,,5950,0.95,1.11,14-05-2014,CoRoT-1 b,1898,2008,Space,0.27 m CoRoT Telescope,0
62,CoRoT-10,b,Transit,1,13.2406,0.1055,88.55,2.75,0.97,345,5075,0.89,0.79,14-05-2014,CoRoT-10 b,600,2010,Space,0.27 m CoRoT Telescope,0
63,CoRoT-11,b,Transit,1,2.99433,0.0436,83.17,2.33,1.43,560,6440,1.27,1.37,14-05-2014,CoRoT-11 b,1657,2010,Space,0.27 m CoRoT Telescope,0
64,CoRoT-12,b,Transit,1,2.828042,0.04016,85.48,0.917,1.44,1150,5675,1.08,1.12,14-05-2014,CoRoT-12 b,1442,2010,Space,0.27 m CoRoT Telescope,0
65,CoRoT-13,b,Transit,1,4.03519,0.051,88.02,1.308,0.885,1060,5945,1.09,1.01,14-05-2014,CoRoT-13 b,1700,2010,Space,0.27 m CoRoT Telescope,0
66,CoRoT-14,b,Transit,1,1.51214,0.027,79.6,7.6,1.09,1340,6035,1.13,1.21,14-05-2014,CoRoT-14 b,1952,2010,Space,0.27 m CoRoT Telescope,0
67,CoRoT-16,b,Transit,1,5.35227,0.0618,85.01,0.535,1.17,840,5650,1.1,1.19,14-05-2014,CoRoT-16 b,,2011,Space,0.27 m CoRoT Telescope,0
68,CoRoT-17,b,Transit,1,3.7681,0.0461,88.34,2.43,1.02,920,5740,1.04,1.59,14-05-2014,CoRoT-17 b,1626,2011,Space,0.27 m CoRoT Telescope,0
69,CoRoT-18,b,Transit,1,1.9000693,0.0295,86.5,3.47,1.31,870,5440,0.95,1,14-05-2014,CoRoT-18 b,1550,2011,Space,0.27 m CoRoT Telescope,0
70,CoRoT-19,b,Transit,1,3.89713,0.0518,88,1.11,1.29,770,6090,1.21,1.65,14-05-2014,CoRoT-19 b,2000,2011,Space,0.27 m CoRoT Telescope,0
71,CoRoT-2,b,Transit,1,1.7429935,0.02798,88.08,3.47,1.466,200,5625,0.96,0.91,14-05-2014,CoRoT-2 b,,2008,Space,0.27 m CoRoT Telescope,0
72,CoRoT-20,b,Transit,1,9.24285,0.0902,88.21,4.24,0.84,1230,5880,1.14,1.02,14-05-2014,CoRoT-20 b,1002,2011,Space,0.27 m CoRoT Telescope,0
73,CoRoT-22,b,Transit,1,9.75598,0.092,89.749,0.038,0.435,592,5939,1.1,1.14,21-08-2014,CoRoT-22 b,885,2014,Space,0.27 m CoRoT Telescope,0
74,CoRoT-23,b,Transit,1,3.6313,0.048,85.7,2.8,1.05,600,5900,1.14,1.61,14-05-2014,CoRoT-23 b,1660,2011,Space,0.27 m CoRoT Telescope,0
75,CoRoT-24,b,Transit,2,5.1134,0.056,86.5,0.018,0.33,600,4950,0.91,0.86,11-06-2014,CoRoT-24 b,1070,2014,Space,0.27 m CoRoT Telescope,0
76,CoRoT-24,c,Transit,2,11.759,0.098,89,0.088,0.44,600,4950,0.91,0.86,11-06-2014,CoRoT-24 c,850,2014,Space,0.27 m CoRoT Telescope,0
77,CoRoT-25,b,Transit,1,4.86069,0.0578,84.5,0.27,1.08,1000,6040,1.09,1.19,14-05-2014,CoRoT-25 b,1330,2013,Space,0.27 m CoRoT Telescope,0
