name,ri,ro
Kepler-1394,0.0,0.0
Kepler-516,0.0,0.0
HD 195019,8.85220526928221,12.752927295660879
Kepler-521,0.0,0.0
Kepler-967,0.0,0.0
Kepler-224,0.0,0.0
Kepler-237,0.0,0.0
Kepler-157,0.0,0.0
Kepler-948,0.0,0.0
OGLE 2015-BLG-0966L,0.0,0.0
WASP-85 A,0.0,0.0
HD 5891,116.23739804614326,167.4573782719634
Kepler-1144,0.0,0.0
Kepler-1595,0.0,0.0
Kepler-577,0.0,0.0
Kepler-782,0.0,0.0
HD 1502,157.6528824872382,227.12258551977106
Kepler-1355,0.0,0.0
Kepler-1599,0.0,0.0
XO-5,68.45421514179084,98.61854783396522
KELT-2 A,53.72454567717651,77.3982532229508
ome Ser,110.84430093418528,159.68781427349825
24 Sex,64.15089955338937,92.41897731343005
BD-13 2130,2830.7449040742385,4078.111934377739
Kepler-1091,0.0,0.0
Kepler-1620,0.0,0.0
Kepler-698,0.0,0.0
HD 5608,44.47217012032922,64.06882070311599
Kepler-251,0.0,0.0
Kepler-60,0.0,0.0
Kepler-832,0.0,0.0
Kepler-1563,0.0,0.0
HD 16175,21.676686571969718,31.22851306017825
Kepler-1457,0.0,0.0
Kepler-1517,0.0,0.0
Kepler-637,0.0,0.0
Kepler-17,360.68683595679505,519.6233995409767
Kepler-1328,0.0,0.0
Kepler-1240,0.0,0.0
GJ 674,0.04567153165406472,0.06579668059516089
HD 155358,10.403464882729422,14.987749067771842
Kepler-607,0.0,0.0
HD 42618,3.08971901452505,4.45120292149009
Kepler-24,0.0,0.0
Kepler-253,0.0,0.0
K2-21,4.217992802402346,6.076650270336508
Kepler-1031,0.0,0.0
Kepler-528,0.0,0.0
Kapteyn,0.04147727520303871,0.05975422609346715
Kepler-1133,0.0,0.0
CoRoT-24,0.0,0.0
HD 82886,73.32784154928234,105.63973649264075
HD 27894,4.543171476736165,6.545118845762442
Kepler-1617,0.0,0.0
Kepler-817,0.0,0.0
HD 30669,8.385378702334206,12.080393719351976
Kepler-249,0.0,0.0
Kepler-1420,0.0,0.0
HD 50554,5.220030528220675,7.5202356681146485
Kepler-633,0.0,0.0
Kepler-530,0.0,0.0
Kepler-1199,0.0,0.0
Kepler-796,0.0,0.0
HAT-P-1,0.0,0.0
Kepler-1216,0.0,0.0
Kepler-211,0.0,0.0
Kepler-826,0.0,0.0
HD 190984,138.84394519382244,200.0254947367615
Kepler-1018,0.0,0.0
Kepler-1338,0.0,0.0
HD 192310,0.6482468788809171,0.9338967030842203
Kepler-444,3.8007495539962064,5.475548889419215
HATS-12,972.9511237088622,1401.6817917617927
K2-45,0.0,0.0
Kepler-793,0.0,0.0
HD 173416,247.86939336986995,357.0929792415258
Kepler-691,0.0,0.0
Kepler-1437,0.0,0.0
HD 2039,25.053025339004066,36.09263465606187
Kepler-1221,0.0,0.0
Kepler-1150,0.0,0.0
Kepler-1572,0.0,0.0
eps CrB,160.39686593272447,231.07570458064671
Kepler-488,0.0,0.0
Kepler-870,0.0,0.0
Kepler-853,0.0,0.0
Kepler-438,0.0,0.0
Kepler-1594,0.0,0.0
Kepler-351,0.0,0.0
OGLE-TR-113,196.62929389326587,283.27394281281573
K2-92,0.0,0.0
TRAPPIST-1,0.0,0.0
TrES-4,339.46678000075906,489.052731262842
Kepler-722,0.0,0.0
HIP 8541,214.99359911956356,309.7304745201165
Kepler-132,0.0,0.0
HD 162020,2.529635162492494,3.644318260869918
NN Ser,0.0,0.0
SR 12 AB,0.0,0.0
CoRoT-5,0.0,0.0
K2-89,0.0,0.0
HD 12484,8.92283909880409,12.854685904403542
Kepler-499,0.0,0.0
Kepler-701,0.0,0.0
Kepler-734,0.0,0.0
WASP-15,0.0,0.0
Kepler-1591,0.0,0.0
tau Boo,3.1476720569528522,4.534692957493744
Kepler-196,0.0,0.0
Kepler-447,0.0,0.0
HD 20794,0.44507004397858047,0.6411900469628022
HD 9174,24.506424277813228,35.30517397467811
Kepler-1329,0.0,0.0
Kepler-688,0.0,0.0
HD 30177,10.665103452491243,15.364678607520728
BD+15 2375,0.0,0.0
HD 114762,7.8261369188440435,11.2747221845657
Kepler-1025,0.0,0.0
Kepler-1130,0.0,0.0
2MASS J02192210-3925225,0.0,0.0
Kepler-1543,0.0,0.0
GJ 317,0.2194892771587699,0.3162071719570419
HAT-P-2,0.0,0.0
Kepler-1093,0.0,0.0
Kepler-1442,0.0,0.0
Kepler-778,0.0,0.0
HD 28678,132.47800960251013,190.85441122759556
Kepler-1317,0.0,0.0
XO-2 N,34.1424475598254,49.18730849331893
HD 5583,0.0,0.0
Kepler-1580,0.0,0.0
Kepler-1564,0.0,0.0
Kepler-1365,0.0,0.0
Kepler-1609,0.0,0.0
HD 23079,5.896200543804819,8.494359831070224
Kepler-1319,0.0,0.0
HAT-P-39,0.0,0.0
Kepler-1163,0.0,0.0
Kepler-1489,0.0,0.0
Kepler-529,0.0,0.0
HD 222582,7.965205727170647,11.475071628318169
Kepler-1303,0.0,0.0
HD 50499,13.103364925543712,18.87735938567111
K2-53,0.0,0.0
Kepler-1540,0.0,0.0
HD 6434,7.170776527122926,10.330577400996651
WASP-133,266.1750638077585,383.4650387556463
HD 153950,13.226932973305258,19.05537766261257
Kepler-311,0.0,0.0
Kepler-1354,0.0,0.0
HD 131664,13.23875889083061,19.072414667722317
HD 106252,6.930894191200821,9.984990974059224
HD 231701,34.92207219592158,50.31047452930567
HD 33142,118.36916107343232,170.52850214128142
Kepler-522,0.0,0.0
Kepler-1639,0.0,0.0
Kepler-1176,0.0,0.0
Kepler-539,93.05115216635991,134.05411897450134
Kepler-309,0.0,0.0
OGLE 2005-BLG-169L,0.0,0.0
Kepler-1007,0.0,0.0
Kepler-623,0.0,0.0
Kepler-979,0.0,0.0
BD-17 63,3.11118327575918,4.4821254040407155
HD 102956,84.5059824513215,121.74352237287007
Kepler-1145,0.0,0.0
Kepler-703,0.0,0.0
HAT-P-50,0.0,0.0
Kepler-434,0.0,0.0
Kepler-1200,0.0,0.0
HIP 70849,0.7619714759421171,1.0977340152489679
Kepler-1034,0.0,0.0
UZ For,0.0,0.0
HIP 91258,5.8359084852357785,8.407500092050746
Kepler-743,0.0,0.0
OGLE 2012-BLG-406L,0.0,0.0
WASP-8,0.0,0.0
WASP-80,3.1700282073613373,4.566900339959174
Kepler-644,0.0,0.0
HD 152079,19.3877402613025,27.930943133178896
Kepler-593,0.0,0.0
Kepler-1251,0.0,0.0
Kepler-1037,0.0,0.0
Kepler-751,0.0,0.0
Kepler-1015,0.0,0.0
Kepler-367,0.0,0.0
